,text
69,"There are famous football players in plenty, but only 
@MesutOzil1088
 is willing to speak up for the #Uyghurs who have been suffering in the concentration camps in #Xinjiang...

We must stand with him and the Muslims being tortured by #CCPChina.

#StandwithUyghurs 
#UyghurGenocide"
70,"Not sure what reference citation technology you can rely on? Turn to the gold standard respected across industries, and begin to trust your research with EndNote."
71,"When fails #EU #USA plan some where in the world, they adopted #Sanctions. Start screaming like the crow, save #HumanRights
, save #Mankind.They saw #Muslimrights of #Uyghurs saw #HongKong #Taiwan #BelarusProtest but they didn't saw #Yemen #Palestine #Syria #Iraqi peoples rights."
72,"Your efforts in voicing out for the oppressed one by genocidal regime #Chinazi should be delivered effectively to #Uyghurs

To comfort their broken heart & support their struggle for survival by adopting appropriate terminology 'Occupied #EastTurkistan'"
73,"It’s important the @Europarl_EN use the correct terminology: “Occupied #EastTurkistan.” The oppressors’ term — “#Xinjiang” — is deeply offensive to most #Uyghurs, as you know. W/o helping #Uighurs to assert their political rights, they‘ll have no way to regain their #HumanRights
."
74,"Home / #World #News / #China’s actions in #Xinjiang amount to #genocide, says #Canada #parliament panel

China’s actions in Xinjiang amount to #genocide, says Canada parliament panel.

#Uyghurs #UyghurLivesMatter
#CCPVirus"
75,"THE ECONOMIST
http://economist.com #r2p #Economist #UK #Europe #UE #USA #Macron #Biden #Trump #Queen #UK #FTSE #FTSE100 #London #PrinceWilliam #Coronavirus #Covid #PrinceHarry #PM #BorisJohnson #Meghan #Epstein #RBG #Sunak #Xi #XiJinping #Russia #Putin #Uyghurs"
76,"I like to hear you chinese man condemn chinese concentration camps for #Uyghurs, where they get tortured, raped and separated from their families."
77,"The deadline for submitting evidence to our Forced Labour inquiry is today. 

Submit written evidence here: https://committees.parliament.uk/work/593/forced-labour-in-uk-value-chains/…

We’ll be holding an evidence session on 5 November exploring supply chain transparency #Uyghurs"
78,"Canadian House of Commons subcommittee on acts committed in #Xinjiang against #Uyghurs: ""Based on the evidence... the Subcommittee is persuaded that the actions of the Chinese Communist Party constitute #genocide as laid out in the Genocide Convention."""
79,"07 organizations, staged a protest against China's brutal repression of #Uyghurs, concentration camps and for the release of 02 detained #Canadians in #China
https://banglanews24.com/english/international/news/bd/86167.details…
@UyghurCongress
 @UyghurProject
 @CPG_USHMM
 @Reaproy"
80,"Hope UK will be the next country declaring there's #genocide happening to #Uyghurs 
CCP can't silence all people in the world"
81,".#Canada is telling it like it is. #China is conducting mass genocide of the #Uyghurs. The rest of the world remains silent & hypocritical in face of this massive Human Rights violation & atrocities committed by China. #UNHCR 
@vonderleyen
 @antonioguterres
 @vonderleyen"
82,"http://BestChinaInfo.com very pleased to be able to repost 'Xin Jiang Explained in 4 Minutes' – If you care about people, #Uyghurs, #XinJiang: Demystified! Spare four minutes to understand properly! by Chris Kanthan @ https://worldaffairs.blog @truthandsatire"
83,"The next time you buy textiles #MadeInChina give a thought to how this cloth is being produced. Forced labour (not even #Nike foreign sweatshops are this evil) by pressganged #Tibetans, #Uyghurs is a matter of record. #BoycottChina #UighurGenocide #UighurLivesMatter"
84,"""Around 20,000 former internment camp detainees are working at the Aksu (in Chinese, Akesu) prefecture branch of an eastern China-based textile producer that has been identified as part of a forced labor scheme in (#EastTurkistan)""

https://rfa.org/english/news/uyghur/labor-10222020145957.html…"
85,"#Boycott Beijing Winter Olympics #FreedomIsNotFree #HumanRightViolations #PoliceBrutality #save12hkyouths #StandWithHongKong #StandWithThailand #StandWithBelarus #Mongolia #Tibetan #Uyghurs #StaySafe
  #FridaysForFreedom"
86,"#China’s state-affiliated @globaltimesnews is very sensitive about a boycott of @Beijing2022 Winter Olympics. #CCP is watching Australia's position closely. They want to brush #genocide under carpet, but Australia can put a spotlight on the truth. #auspol https://globaltimes.cn/content/1204371.shtml…"
87,"A reminder on #CCP #China
""#China #CCP #HongKong #MilkTeaAlliance #Malaysia #Thailand #Japan #Taiwan #Tibet #Uyghurs #Philippines #Mongolia #ChinaVirus  #StandWithThailand """
88,"(GRAPHIC warning) Killed thrown from building, Potential RAPE in Communist #China governed #HongKong.

20200307 1443  Tin Shui Wai Male

Police: NON SUSPICIOUS
Body split into half.  Witness heard cursing of police before incident

Over 11929 murders/missing"
89,#Chinese pressure & insane behaviors on #Uyghurs at #Xinjiang
90,"Thousands of miles from Xinjiang, Uyghurs still live in fear of the Chinese state https://econ.st/2Hgc8Ne From @1843mag"
91,"All countries should correct their term when they refer to East Turkistan!!

Otherwise it’s anti-#Uyghurs, anti-#EastTurkistan; although we don’t have 1.4 billion people,but it still hurts our feelings!

If what’s happening to #Uyghurs is not genocide, then genocide doesn’t exist"
92,"@Kaepernick7
 was targeted for standing up against racism ,He stood up against all odds & won.The whole world is kneeling today.
@MesutOzil1088
 stood up against the oppression of the #Uyghurs in China & he is being targetted just like kaepernick.He will win.
#DebateTonight"
93,"This is not new, Nazi did the same in the past

https://twitter.com/doamuslims/status/1209217959597674498?s=19…"
94,Leftist defense of persecution of #Uyghurs triggers a fierce response from professors - An open letter signed by 35 international academics called out a Monthly Review article that denied the persecution of China’s Muslim minority https://glykosymoritis.blogspot.com/2020/10/leftist-defense-of-persecution-of.html… #regressiveLeft #genocide
95,a million? millions? camps? #Opression? #Genocide? umm... #smokinggun? #Bullsh1t #Xinjiang #Uyghurs
96,"#UyghurGenocide #Uyghurs 
china is the new #Nazi"
97,"For comparison, English arrival the American and Oceanic continents, it erased all other languages and homogenized cultures. The West has little to teach China in regards to maintaining cultural diversity. #Uyghurs in #Xinjiang."
98,"Really great to see more people are standing up for #Uyghurs 
Hope the free world can to #FreeUyghurs by sanctioning CCP officials and #decoupleFromChina"
99,"@gadyepstein
 'articles' on #China, in particular #Uyghurs #Xinjiang. Takes a few mouseclicks to understand why he & 
@TheEconomist
 stink of propagandised 'thinking' and 'writing', (using both terms very loosely here) #FollowTheMoney All the way back to #OldWorldOrder #Rothschild"
100,"@TheEconomist
 @gadyepstein
 @GroseTimothy
 STILL using debunked lie as flimsy agitprop. #Reuters article, regurgitated by #msm: 'millions of #Uyghurs in secret camps': NO #UN statement but quotes #NED funded #CERD': #US #GayMcDougall  http://williamengdahl.com/englishNEO5Oct2018.php… https://21stcenturywire.com/2018/09/26/from-idlib-to-xinjiang-uyghur-fighters-trained-for-terror/…"
101,Inside the #WUC World #Uyghur Congress: The #US #NED backed right-wing regime change network seeking the 'fall of China' https://thegrayzone.com/2020/03/05/world-uyghur-congress-us-far-right-regime-change-network-fall-china/… via @TheGrayzoneNews
102,"Boycott winter Olympic in Beijing, Olympic Games not a occasion for whitewash of totalitarian regime. #Uyghurs #CCP_is_terrorist"
103,"Please help #Uyghurs.

#StandwithUyghurs"
104,"#BREAKING Uyghur Tribunal overwhelmed with evidence, launches campaign to fund comprehensive investigation into allegations of genocide. 

We are a people’s tribunal. Owned by the people and totally independent. Please support this project: https://crowdfunder.co.uk/the-uyghur-tribunal…"
105,"Boring, everyone else is already talked about #Uyghurs Can u switch to something more juicier?
I know the secrets MSM dont want the world to know, what u Americans did last 30 years..

https://sasapost.com/the-endless-war-iraqs-heavy-legacy-of-depleted-uranium/amp/?__twitter_impression=true…"
106,Free the fucking #Uyghurs from the #UyghurGenocide
107,"All Lives Matter

Chinese Communist Party, 
The Chinese Progressive Association,
& Black Lives Matter

#Uyghurs are human beings, too.

Marxism, BLM & Money Laundering"
108,Agreed but I want to hear specifics on how we prevent this from happening again. I want to hear what specifically he would do different. I have heard a whole lot of what he won’t do and not a whole lot of what specifically he will. Also talk about #Uyghurs
109,"""These are the most serious #HumanRightsViolations of this century."" 
@David_Mulroney
, former Canadian ambassador to #China. A Canadian parl. committee found the abuses against the #Uyghurs are #Genocide. May our own 
@StateDept
 do the same. 
@ETAwakening
 @CUyghurs
 @eastofethan"
110,Discussion on China and not one mention of how the Chinese Communist Party is brutally oppressing and persecuting the #Uyghurs in Xinjiang.
111,Thank you so much voice out for #Uyghurs
112,"China unlawfully detained #Millions of #Uyghurs in  #ConcentrationCamps.
your government committing genocide against Uyghurs and you are part of this crime against humanity.
now you comparing 
@SenatorAbetz
 to a Nazi?
you are the real Nazi of this century."
113,"Comment: ""I'm a Chinese guy born in China. And I say f**k the #CCP. Stand up for those oppressed like the #Uyghurs, #HongKong and #Taiwan.""

China warns Canada not to damage relations further with ‘lies’ about #Uyghur #genocide /via 
@globeandmail"
114,"There is no point of comparing #China, and its repression of #Uyghurs to Europe 
 Europe trusts its citizens, till proven guilty. China pre-judges #Uygurs as ""prospective terrorists"" from the day their are born 
. It's NOT  normal to have to do this in one's restaurant "
115,We urge Canada and the international community to work together to launch & sustain a global response to the #EastTurkistan crisis. #Uyghurs & other Turkic peoples have become displaced & stateless with millions locked up in #ConcentrationCamps & prisons.
116,"Thank you Mr. 
@rajfortyseven
 for covering #Uyghurs’ current crisis;in the mean #Chins is migrating #Uyghurs in millions to #China to, while migrating *irrelevant* #Chinese ppl go east Turkistan to create more issues in the future..

Hope world could some more decisive action soon"
